part_id,clip_id,caption
100,0RJKT,A man is unbuttoning his jacket and sitting down on the floor
200,2E8GU,A man is playing with a broomstick and then removing his clothes
300,3IPI3,A man picks up a cup and drinks from it and put it down and pick up a book to read
400,3JJ7C,A man is taking something from the wardrobe and closing them after.
500,3LMTS,A woman is cooking on the stove and uses her phone to make a call
600,4GLAP,A man is holding a pair of shoes and trying it out
700,5D3X6,A man and a woman is going down the stairs together
800,5EFQ7,A man is fixing a table
900,5O0YS,A man is leaning against a wall with his hand on his face
1000,8ASRQ,A man is taking off his shoes before throwing it to the side
7000,52CKM,A woman is lying down on the bed and fidgeting
